"Country","government_strategy","talent"
"Israel",43.91,35.76
"Switzerland",12.18,25.63
"Sweden",40.35,28.21
"Hong Kong",33.29,17.56
"New Zealand",47.62,23.3
"Iceland",22.15,18.45
